"Month","Monthly production of chocolate confectionery in Australia: tonnes. July 1957 ? Aug 1995"
"1957-07",2953
"1957-08",2635
"1957-09",2404
"1957-10",2413
"1957-11",2136
"1957-12",1565
"1958-01",1451
"1958-02",2037
"1958-03",2477
"1958-04",2785
"1958-05",2994
"1958-06",2681
"1958-07",3098
"1958-08",2708
"1958-09",2517
"1958-10",2445
"1958-11",2087
"1958-12",1801
"1959-01",1216
"1959-02",2173
"1959-03",2286
"1959-04",3121
"1959-05",3458
"1959-06",3511
"1959-07",3524
"1959-08",2767
"1959-09",2744
"1959-10",2603
"1959-11",2527
"1959-12",1846
"1960-01",1066
"1960-02",2327
"1960-03",3066
"1960-04",3048
"1960-05",3806
"1960-06",4042
"1960-07",3583
"1960-08",3438
"1960-09",2957
"1960-10",2885
"1960-11",2744
"1960-12",1837
"1961-01",1447
"1961-02",2504
"1961-03",3248
"1961-04",3098
"1961-05",4318
"1961-06",3561
"1961-07",3316
"1961-08",3379
"1961-09",2717
"1961-10",2354
"1961-11",2445
"1961-12",1542
"1962-01",1606
"1962-02",2590
"1962-03",3588
"1962-04",3202
"1962-05",4704
"1962-06",4005
"1962-07",3810
"1962-08",3488
"1962-09",2781
"1962-10",2944
"1962-11",2817
"1962-12",1960
"1963-01",1937
"1963-02",2903
"1963-03",3357
"1963-04",3552
"1963-05",4581
"1963-06",3905
"1963-07",4581
"1963-08",4037
"1963-09",3345
"1963-10",3175
"1963-11",2808
"1963-12",2050
"1964-01",1719
"1964-02",3143
"1964-03",3756
"1964-04",4776
"1964-05",4540
"1964-06",4309
"1964-07",4563
"1964-08",3506
"1964-09",3665
"1964-10",3361
"1964-11",3094
"1964-12",2440
"1965-01",1633
"1965-02",2935
"1965-03",4159
"1965-04",4159
"1965-05",4894
"1965-06",4921
"1965-07",4577
"1965-08",4155
"1965-09",3851
"1965-10",3429
"1965-11",3370
"1965-12",2726
"1966-01",1674
"1966-02",3257
"1966-03",4731
"1966-04",4481
"1966-05",5443
"1966-06",5566
"1966-07",5044
"1966-08",4781
"1966-09",4014
"1966-10",3561
"1966-11",3801
"1966-12",2685
"1967-01",1805
"1967-02",3756
"1967-03",4227
"1967-04",4595
"1967-05",5702
"1967-06",4681
"1967-07",4395
"1967-08",4459
"1967-09",4191
"1967-10",3742
"1967-11",3279
"1967-12",2468
"1968-01",1742
"1968-02",3366
"1968-03",3633
"1968-04",3701
"1968-05",4926
"1968-06",4522
"1968-07",5275
"1968-08",4717
"1968-09",4114
"1968-10",3851
"1968-11",3493
"1968-12",2654
"1969-01",2168
"1969-02",3561
"1969-03",4305
"1969-04",4413
"1969-05",5307
"1969-06",5361
"1969-07",4948
"1969-08",4472
"1969-09",3846
"1969-10",3715
"1969-11",3343
"1969-12",2939
"1970-01",1615
"1970-02",3497
"1970-03",3915
"1970-04",4858
"1970-05",4962
"1970-06",4504
"1970-07",4767
"1970-08",4291
"1970-09",4091
"1970-10",4164
"1970-11",3915
"1970-12",3130
"1971-01",1696
"1971-02",3887
"1971-03",4749
"1971-04",4781
"1971-05",5089
"1971-06",5484
"1971-07",5072
"1971-08",4611
"1971-09",4117
"1971-10",3910
"1971-11",4252
"1971-12",3624
"1972-01",1678
"1972-02",3851
"1972-03",5021
"1972-04",4581
"1972-05",6195
"1972-06",5338
"1972-07",4909
"1972-08",4640
"1972-09",3706
"1972-10",4113
"1972-11",3879
"1972-12",3411
"1973-01",2043
"1973-02",3736
"1973-03",4490
"1973-04",3715
"1973-05",5623
"1973-06",4671
"1973-07",5591
"1973-08",5461
"1973-09",4795
"1973-10",4846
"1973-11",4843
"1973-12",3278
"1974-01",2411
"1974-02",4278
"1974-03",4639
"1974-04",4559
"1974-05",6404
"1974-06",4851
"1974-07",6480
"1974-08",6394
"1974-09",5752
"1974-10",4718
"1974-11",4659
"1974-12",3842
"1975-01",2873
"1975-02",5556
"1975-03",5389
"1975-04",6135
"1975-05",6707
"1975-06",5220
"1975-07",6249
"1975-08",5281
"1975-09",4192
"1975-10",4867
"1975-11",3752
"1975-12",3492
"1976-01",1979
"1976-02",4584
"1976-03",5139
"1976-04",5044
"1976-05",5501
"1976-06",5044
"1976-07",5035
"1976-08",5167
"1976-09",4650
"1976-10",5298
"1976-11",4373
"1976-12",3941
"1977-01",2334
"1977-02",4381
"1977-03",5665
"1977-04",4393
"1977-05",5232
"1977-06",5876
"1977-07",5900
"1977-08",5704
"1977-09",4718
"1977-10",4650
"1977-11",4446
"1977-12",3061
"1978-01",2155
"1978-02",4274
"1978-03",4695
"1978-04",4362
"1978-05",4889
"1978-06",5370
"1978-07",5072
"1978-08",4985
"1978-09",3978
"1978-10",4139
"1978-11",3995
"1978-12",3025
"1979-01",1949
"1979-02",4357
"1979-03",4638
"1979-04",3994
"1979-05",6174
"1979-06",5656
"1979-07",4411
"1979-08",5504
"1979-09",4463
"1979-10",4458
"1979-11",4528
"1979-12",2830
"1980-01",1843
"1980-02",5042
"1980-03",5348
"1980-04",5257
"1980-05",6699
"1980-06",5388
"1980-07",6001
"1980-08",5966
"1980-09",4845
"1980-10",4507
"1980-11",4214
"1980-12",3460
"1981-01",1833
"1981-02",4978
"1981-03",6464
"1981-04",5820
"1981-05",6447
"1981-06",6191
"1981-07",6628
"1981-08",5452
"1981-09",5295
"1981-10",5080
"1981-11",5564
"1981-12",3965
"1982-01",2062
"1982-02",5099
"1982-03",6162
"1982-04",5529
"1982-05",6416
"1982-06",6382
"1982-07",5624
"1982-08",5785
"1982-09",4644
"1982-10",5331
"1982-11",5143
"1982-12",4596
"1983-01",2180
"1983-02",5786
"1983-03",5840
"1983-04",5666
"1983-05",6360
"1983-06",6219
"1983-07",6082
"1983-08",5653
"1983-09",5726
"1983-10",5049
"1983-11",5859
"1983-12",4091
"1984-01",2167
"1984-02",6480
"1984-03",7375
"1984-04",6583
"1984-05",7251
"1984-06",6730
"1984-07",6428
"1984-08",5228
"1984-09",4716
"1984-10",6101
"1984-11",5753
"1984-12",4000
"1985-01",2691
"1985-02",5898
"1985-03",6526
"1985-04",5840
"1985-05",6650
"1985-06",5717
"1985-07",7236
"1985-08",6523
"1985-09",5729
"1985-10",6004
"1985-11",5950
"1985-12",4690
"1986-01",3687
"1986-02",7791
"1986-03",7153
"1986-04",6434
"1986-05",7850
"1986-06",6809
"1986-07",8379
"1986-08",6914
"1986-09",6919
"1986-10",7265
"1986-11",6994
"1986-12",5503
"1987-01",3782
"1987-02",7502
"1987-03",8119
"1987-04",7292
"1987-05",6886
"1987-06",7049
"1987-07",7977
"1987-08",8519
"1987-09",6680
"1987-10",7994
"1987-11",7047
"1987-12",5782
"1988-01",3771
"1988-02",7906
"1988-03",8970
"1988-04",6077
"1988-05",7919
"1988-06",7340
"1988-07",7807
"1988-08",7382
"1988-09",8269
"1988-10",7820
"1988-11",7483
"1988-12",6700
"1989-01",4487
"1989-02",8288
"1989-03",8872
"1989-04",8580
"1989-05",9185
"1989-06",8651
"1989-07",8394
"1989-08",9709
"1989-09",7123
"1989-10",9226
"1989-11",8336
"1989-12",7161
"1990-01",3878
"1990-02",7314
"1990-03",8753
"1990-04",7721
"1990-05",8964
"1990-06",7355
"1990-07",7645
"1990-08",8853
"1990-09",8536
"1990-10",9212
"1990-11",8503
"1990-12",7170
"1991-01",3259
"1991-02",8569
"1991-03",9340
"1991-04",7251
"1991-05",8077
"1991-06",8213
"1991-07",8093
"1991-08",10045
"1991-09",7881
"1991-10",8409
"1991-11",8162
"1991-12",8086
"1992-01",4534
"1992-02",7356
"1992-03",8709
"1992-04",8191
"1992-05",8279
"1992-06",8064
"1992-07",9873
"1992-08",9655
"1992-09",9189
"1992-10",9149
"1992-11",8909
"1992-12",8080
"1993-01",5004
"1993-02",8502
"1993-03",9462
"1993-04",8173
"1993-05",9193
"1993-06",9211
"1993-07",8713
"1993-08",10643
"1993-09",9304
"1993-10",10379
"1993-11",10504
"1993-12",9547
"1994-01",8390
"1994-02",9405
"1994-03",9561
"1994-04",7417
"1994-05",8621
"1994-06",9145
"1994-07",8858
"1994-08",10748
"1994-09",10552
"1994-10",9827
"1994-11",10402
"1994-12",9503
"1995-01",5853
"1995-02",9334
"1995-03",9875
"1995-04",6495
"1995-05",8668
"1995-06",9685
"1995-07",10109
"1995-08",11095

Monthly production of chocolate confectionery in Australia: tonnes. July 1957 ? Aug 1995

