"Month","Monthly production of woollen yarn in Australia: tonnes. Jan 1965 ? Aug 1995."
"1965-01",1834
"1965-02",2010
"1965-03",2328
"1965-04",2220
"1965-05",2286
"1965-06",2203
"1965-07",2235
"1965-08",2272
"1965-09",2126
"1965-10",2113
"1965-11",2294
"1965-12",2253
"1966-01",2248
"1966-02",2310
"1966-03",2228
"1966-04",2178
"1966-05",2403
"1966-06",2219
"1966-07",2265
"1966-08",2281
"1966-09",2184
"1966-10",2238
"1966-11",2340
"1966-12",2187
"1967-01",2154
"1967-02",2279
"1967-03",2287
"1967-04",2359
"1967-05",2430
"1967-06",2344
"1967-07",2208
"1967-08",2411
"1967-09",2327
"1967-10",2408
"1967-11",2277
"1967-12",2410
"1968-01",2452
"1968-02",2339
"1968-03",2256
"1968-04",2299
"1968-05",2170
"1968-06",2288
"1968-07",2279
"1968-08",2224
"1968-09",2412
"1968-10",2342
"1968-11",2301
"1968-12",2278
"1969-01",2574
"1969-02",2154
"1969-03",2336
"1969-04",2501
"1969-05",2271
"1969-06",2434
"1969-07",2361
"1969-08",2316
"1969-09",2513
"1969-10",2475
"1969-11",2460
"1969-12",2467
"1970-01",2823
"1970-02",2555
"1970-03",2441
"1970-04",2478
"1970-05",2449
"1970-06",2373
"1970-07",2402
"1970-08",2373
"1970-09",2330
"1970-10",2455
"1970-11",2361
"1970-12",2443
"1971-01",2420
"1971-02",2269
"1971-03",2312
"1971-04",2671
"1971-05",2347
"1971-06",2457
"1971-07",2377
"1971-08",2186
"1971-09",2277
"1971-10",2308
"1971-11",2327
"1971-12",2426
"1972-01",1247
"1972-02",1963
"1972-03",2635
"1972-04",2150
"1972-05",2888
"1972-06",2491
"1972-07",2513
"1972-08",2679
"1972-09",2627
"1972-10",2739
"1972-11",2471
"1972-12",1733
"1973-01",1393
"1973-02",2036
"1973-03",2285
"1973-04",1813
"1973-05",2784
"1973-06",1959
"1973-07",2372
"1973-08",2445
"1973-09",2228
"1973-10",2377
"1973-11",2009
"1973-12",1561
"1974-01",1251
"1974-02",2097
"1974-03",2115
"1974-04",1987
"1974-05",2239
"1974-06",1901
"1974-07",2177
"1974-08",1816
"1974-09",1547
"1974-10",1694
"1974-11",1444
"1974-12",1097
"1975-01",667
"1975-02",1387
"1975-03",1270
"1975-04",1518
"1975-05",1610
"1975-06",1665
"1975-07",1938
"1975-08",1887
"1975-09",2081
"1975-10",2245
"1975-11",1936
"1975-12",1653
"1976-01",849
"1976-02",2081
"1976-03",2310
"1976-04",1755
"1976-05",1842
"1976-06",1861
"1976-07",1826
"1976-08",1809
"1976-09",1870
"1976-10",1791
"1976-11",1815
"1976-12",1396
"1977-01",657
"1977-02",1607
"1977-03",1735
"1977-04",1365
"1977-05",1727
"1977-06",1734
"1977-07",1835
"1977-08",1870
"1977-09",1613
"1977-10",1263
"1977-11",2078
"1977-12",1340
"1978-01",771
"1978-02",1871
"1978-03",1800
"1978-04",1694
"1978-05",1858
"1978-06",1753
"1978-07",1767
"1978-08",1877
"1978-09",1822
"1978-10",1760
"1978-11",1864
"1978-12",1371
"1979-01",824
"1979-02",1842
"1979-03",1907
"1979-04",1463
"1979-05",1921
"1979-06",1697
"1979-07",2039
"1979-08",1923
"1979-09",1734
"1979-10",2013
"1979-11",1859
"1979-12",1207
"1980-01",778
"1980-02",1810
"1980-03",1785
"1980-04",1696
"1980-05",1782
"1980-06",1508
"1980-07",1870
"1980-08",1755
"1980-09",1716
"1980-10",1820
"1980-11",1669
"1980-12",1311
"1981-01",604
"1981-02",1755
"1981-03",1802
"1981-04",1673
"1981-05",1693
"1981-06",1641
"1981-07",1846
"1981-08",1747
"1981-09",1871
"1981-10",1878
"1981-11",1771
"1981-12",1478
"1982-01",664
"1982-02",1668
"1982-03",1908
"1982-04",1638
"1982-05",1744
"1982-06",1956
"1982-07",1732
"1982-08",1710
"1982-09",1687
"1982-10",1709
"1982-11",1578
"1982-12",1150
"1983-01",576
"1983-02",1404
"1983-03",1662
"1983-04",1264
"1983-05",1613
"1983-06",1725
"1983-07",1759
"1983-08",1830
"1983-09",1935
"1983-10",1691
"1983-11",1865
"1983-12",1339
"1984-01",657
"1984-02",1800
"1984-03",1923
"1984-04",1373
"1984-05",2127
"1984-06",1686
"1984-07",2168
"1984-08",2055
"1984-09",1857
"1984-10",2063
"1984-11",2080
"1984-12",1445
"1985-01",887
"1985-02",2075
"1985-03",2047
"1985-04",1748
"1985-05",2143
"1985-06",1772
"1985-07",2357
"1985-08",2184
"1985-09",1999
"1985-10",2408
"1985-11",2247
"1985-12",1607
"1986-01",1090
"1986-02",2077
"1986-03",2002
"1986-04",1975
"1986-05",1963
"1986-06",1881
"1986-07",2321
"1986-08",2052
"1986-09",1966
"1986-10",2218
"1986-11",2041
"1986-12",1722
"1987-01",760
"1987-02",1961
"1987-03",2045
"1987-04",1846
"1987-05",2026
"1987-06",2104
"1987-07",2340
"1987-08",2087
"1987-09",2163
"1987-10",2081
"1987-11",2080
"1987-12",1429
"1988-01",1000
"1988-02",2057
"1988-03",2078
"1988-04",1610
"1988-05",2070
"1988-06",2082
"1988-07",1956
"1988-08",2096
"1988-09",2025
"1988-10",2063
"1988-11",2081
"1988-12",1738
"1989-01",790
"1989-02",1803
"1989-03",1654
"1989-04",1614
"1989-05",1804
"1989-06",1846
"1989-07",1714
"1989-08",1794
"1989-09",1638
"1989-10",1854
"1989-11",1826
"1989-12",1188
"1990-01",688
"1990-02",1831
"1990-03",1810
"1990-04",1357
"1990-05",1883
"1990-06",1629
"1990-07",1695
"1990-08",1794
"1990-09",1638
"1990-10",1854
"1990-11",1826
"1990-12",1188
"1991-01",790
"1991-02",1505
"1991-03",1532
"1991-04",1480
"1991-05",1808
"1991-06",1699
"1991-07",1829
"1991-08",1729
"1991-09",1664
"1991-10",1882
"1991-11",1797
"1991-12",1249
"1992-01",888
"1992-02",1509
"1992-03",1533
"1992-04",1294
"1992-05",1548
"1992-06",1627
"1992-07",1623
"1992-08",1576
"1992-09",1755
"1992-10",1747
"1992-11",1635
"1992-12",1370
"1993-01",872
"1993-02",1466
"1993-03",1550
"1993-04",1485
"1993-05",1502
"1993-06",1601
"1993-07",1694
"1993-08",1819
"1993-09",1796
"1993-10",1617
"1993-11",1694
"1993-12",1421
"1994-01",1113
"1994-02",1830
"1994-03",1894
"1994-04",1954
"1994-05",2141
"1994-06",2040
"1994-07",2011
"1994-08",2197
"1994-09",2162
"1994-10",2264
"1994-11",2240
"1994-12",1651
"1995-01",1364
"1995-02",1930
"1995-03",1910
"1995-04",1493
"1995-05",1956
"1995-06",1917
"1995-07",2010
"1995-08",2117

Monthly production of woollen yarn in Australia: tonnes. Jan 1965 ? Aug 1995.

