"Month","Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981"
"1948-01",446
"1948-02",650
"1948-03",592
"1948-04",561
"1948-05",491
"1948-06",592
"1948-07",604
"1948-08",635
"1948-09",580
"1948-10",510
"1948-11",553
"1948-12",554
"1949-01",628
"1949-02",708
"1949-03",629
"1949-04",724
"1949-05",820
"1949-06",865
"1949-07",1007
"1949-08",1025
"1949-09",955
"1949-10",889
"1949-11",965
"1949-12",878
"1950-01",1103
"1950-02",1092
"1950-03",978
"1950-04",823
"1950-05",827
"1950-06",928
"1950-07",838
"1950-08",720
"1950-09",756
"1950-10",658
"1950-11",838
"1950-12",684
"1951-01",779
"1951-02",754
"1951-03",794
"1951-04",681
"1951-05",658
"1951-06",644
"1951-07",622
"1951-08",588
"1951-09",720
"1951-10",670
"1951-11",746
"1951-12",616
"1952-01",646
"1952-02",678
"1952-03",552
"1952-04",560
"1952-05",578
"1952-06",514
"1952-07",541
"1952-08",576
"1952-09",522
"1952-10",530
"1952-11",564
"1952-12",442
"1953-01",520
"1953-02",484
"1953-03",538
"1953-04",454
"1953-05",404
"1953-06",424
"1953-07",432
"1953-08",458
"1953-09",556
"1953-10",506
"1953-11",633
"1953-12",708
"1954-01",1013
"1954-02",1031
"1954-03",1101
"1954-04",1061
"1954-05",1048
"1954-06",1005
"1954-07",987
"1954-08",1006
"1954-09",1075
"1954-10",854
"1954-11",1008
"1954-12",777
"1955-01",982
"1955-02",894
"1955-03",795
"1955-04",799
"1955-05",781
"1955-06",776
"1955-07",761
"1955-08",839
"1955-09",842
"1955-10",811
"1955-11",843
"1955-12",753
"1956-01",848
"1956-02",756
"1956-03",848
"1956-04",828
"1956-05",857
"1956-06",838
"1956-07",986
"1956-08",847
"1956-09",801
"1956-10",739
"1956-11",865
"1956-12",767
"1957-01",941
"1957-02",846
"1957-03",768
"1957-04",709
"1957-05",798
"1957-06",831
"1957-07",833
"1957-08",798
"1957-09",806
"1957-10",771
"1957-11",951
"1957-12",799
"1958-01",1156
"1958-02",1332
"1958-03",1276
"1958-04",1373
"1958-05",1325
"1958-06",1326
"1958-07",1314
"1958-08",1343
"1958-09",1225
"1958-10",1133
"1958-11",1075
"1958-12",1023
"1959-01",1266
"1959-02",1237
"1959-03",1180
"1959-04",1046
"1959-05",1010
"1959-06",1010
"1959-07",1046
"1959-08",985
"1959-09",971
"1959-10",1037
"1959-11",1026
"1959-12",947
"1960-01",1097
"1960-02",1018
"1960-03",1054
"1960-04",978
"1960-05",955
"1960-06",1067
"1960-07",1132
"1960-08",1092
"1960-09",1019
"1960-10",1110
"1960-11",1262
"1960-12",1174
"1961-01",1391
"1961-02",1533
"1961-03",1479
"1961-04",1411
"1961-05",1370
"1961-06",1486
"1961-07",1451
"1961-08",1309
"1961-09",1316
"1961-10",1319
"1961-11",1233
"1961-12",1113
"1962-01",1363
"1962-02",1245
"1962-03",1205
"1962-04",1084
"1962-05",1048
"1962-06",1131
"1962-07",1138
"1962-08",1271
"1962-09",1244
"1962-10",1139
"1962-11",1205
"1962-12",1030
"1963-01",1300
"1963-02",1319
"1963-03",1198
"1963-04",1147
"1963-05",1140
"1963-06",1216
"1963-07",1200
"1963-08",1271
"1963-09",1254
"1963-10",1203
"1963-11",1272
"1963-12",1073
"1964-01",1375
"1964-02",1400
"1964-03",1322
"1964-04",1214
"1964-05",1096
"1964-06",1198
"1964-07",1132
"1964-08",1193
"1964-09",1163
"1964-10",1120
"1964-11",1164
"1964-12",966
"1965-01",1154
"1965-02",1306
"1965-03",1123
"1965-04",1033
"1965-05",940
"1965-06",1151
"1965-07",1013
"1965-08",1105
"1965-09",1011
"1965-10",963
"1965-11",1040
"1965-12",838
"1966-01",1012
"1966-02",963
"1966-03",888
"1966-04",840
"1966-05",880
"1966-06",939
"1966-07",868
"1966-08",1001
"1966-09",956
"1966-10",966
"1966-11",896
"1966-12",843
"1967-01",1180
"1967-02",1103
"1967-03",1044
"1967-04",972
"1967-05",897
"1967-06",1103
"1967-07",1056
"1967-08",1055
"1967-09",1287
"1967-10",1231
"1967-11",1076
"1967-12",929
"1968-01",1105
"1968-02",1127
"1968-03",988
"1968-04",903
"1968-05",845
"1968-06",1020
"1968-07",994
"1968-08",1036
"1968-09",1050
"1968-10",977
"1968-11",956
"1968-12",818
"1969-01",1031
"1969-02",1061
"1969-03",964
"1969-04",967
"1969-05",867
"1969-06",1058
"1969-07",987
"1969-08",1119
"1969-09",1202
"1969-10",1097
"1969-11",994
"1969-12",840
"1970-01",1086
"1970-02",1238
"1970-03",1264
"1970-04",1171
"1970-05",1206
"1970-06",1303
"1970-07",1393
"1970-08",1463
"1970-09",1601
"1970-10",1495
"1970-11",1561
"1970-12",1404
"1971-01",1705
"1971-02",1739
"1971-03",1667
"1971-04",1599
"1971-05",1516
"1971-06",1625
"1971-07",1629
"1971-08",1809
"1971-09",1831
"1971-10",1665
"1971-11",1659
"1971-12",1457
"1972-01",1707
"1972-02",1607
"1972-03",1616
"1972-04",1522
"1972-05",1585
"1972-06",1657
"1972-07",1717
"1972-08",1789
"1972-09",1814
"1972-10",1698
"1972-11",1481
"1972-12",1330
"1973-01",1646
"1973-02",1596
"1973-03",1496
"1973-04",1386
"1973-05",1302
"1973-06",1524
"1973-07",1547
"1973-08",1632
"1973-09",1668
"1973-10",1421
"1973-11",1475
"1973-12",1396
"1974-01",1706
"1974-02",1715
"1974-03",1586
"1974-04",1477
"1974-05",1500
"1974-06",1648
"1974-07",1745
"1974-08",1856
"1974-09",2067
"1974-10",1856
"1974-11",2104
"1974-12",2061
"1975-01",2809
"1975-02",2783
"1975-03",2748
"1975-04",2642
"1975-05",2628
"1975-06",2714
"1975-07",2699
"1975-08",2776
"1975-09",2795
"1975-10",2673
"1975-11",2558
"1975-12",2394
"1976-01",2784
"1976-02",2751
"1976-03",2521
"1976-04",2372
"1976-05",2202
"1976-06",2469
"1976-07",2686
"1976-08",2815
"1976-09",2831
"1976-10",2661
"1976-11",2590
"1976-12",2383
"1977-01",2670
"1977-02",2771
"1977-03",2628
"1977-04",2381
"1977-05",2224
"1977-06",2556
"1977-07",2512
"1977-08",2690
"1977-09",2726
"1977-10",2493
"1977-11",2544
"1977-12",2232
"1978-01",2494
"1978-02",2315
"1978-03",2217
"1978-04",2100
"1978-05",2116
"1978-06",2319
"1978-07",2491
"1978-08",2432
"1978-09",2470
"1978-10",2191
"1978-11",2241
"1978-12",2117
"1979-01",2370
"1979-02",2392
"1979-03",2255
"1979-04",2077
"1979-05",2047
"1979-06",2255
"1979-07",2233
"1979-08",2539
"1979-09",2394
"1979-10",2341
"1979-11",2231
"1979-12",2171
"1980-01",2487
"1980-02",2449
"1980-03",2300
"1980-04",2387
"1980-05",2474
"1980-06",2667
"1980-07",2791
"1980-08",2904
"1980-09",2737
"1980-10",2849
"1980-11",2723
"1980-12",2613
"1981-01",2950
"1981-02",2825
"1981-03",2717
"1981-04",2593
"1981-05",2703
"1981-06",2836
"1981-07",2938
"1981-08",2975
"1981-09",3064
"1981-10",3092
"1981-11",3063
"1981-12",2991

Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981

