"Month","Monthly U.S. male (16-19 years) unemployment figures (thousands) 1948-1981"
"1948-01",278
"1948-02",310
"1948-03",298
"1948-04",225
"1948-05",185
"1948-06",385
"1948-07",356
"1948-08",274
"1948-09",197
"1948-10",166
"1948-11",189
"1948-12",203
"1949-01",295
"1949-02",294
"1949-03",318
"1949-04",301
"1949-05",349
"1949-06",550
"1949-07",478
"1949-08",408
"1949-09",294
"1949-10",290
"1949-11",305
"1949-12",351
"1950-01",476
"1950-02",448
"1950-03",337
"1950-04",291
"1950-05",328
"1950-06",500
"1950-07",361
"1950-08",271
"1950-09",228
"1950-10",187
"1950-11",177
"1950-12",213
"1951-01",223
"1951-02",204
"1951-03",171
"1951-04",149
"1951-05",147
"1951-06",305
"1951-07",278
"1951-08",186
"1951-09",152
"1951-10",128
"1951-11",180
"1951-12",168
"1952-01",250
"1952-02",244
"1952-03",198
"1952-04",166
"1952-05",188
"1952-06",324
"1952-07",266
"1952-08",178
"1952-09",176
"1952-10",122
"1952-11",162
"1952-12",183
"1953-01",170
"1953-02",174
"1953-03",166
"1953-04",132
"1953-05",140
"1953-06",280
"1953-07",234
"1953-08",176
"1953-09",141
"1953-10",162
"1953-11",175
"1953-12",252
"1954-01",294
"1954-02",374
"1954-03",324
"1954-04",277
"1954-05",314
"1954-06",385
"1954-07",427
"1954-08",346
"1954-09",279
"1954-10",188
"1954-11",239
"1954-12",276
"1955-01",309
"1955-02",283
"1955-03",243
"1955-04",212
"1955-05",244
"1955-06",439
"1955-07",354
"1955-08",272
"1955-09",223
"1955-10",218
"1955-11",233
"1955-12",258
"1956-01",275
"1956-02",290
"1956-03",227
"1956-04",219
"1956-05",279
"1956-06",494
"1956-07",359
"1956-08",241
"1956-09",178
"1956-10",178
"1956-11",262
"1956-12",226
"1957-01",313
"1957-02",256
"1957-03",290
"1957-04",248
"1957-05",257
"1957-06",507
"1957-07",390
"1957-08",270
"1957-09",229
"1957-10",226
"1957-11",311
"1957-12",298
"1958-01",361
"1958-02",391
"1958-03",393
"1958-04",377
"1958-05",415
"1958-06",634
"1958-07",580
"1958-08",414
"1958-09",383
"1958-10",335
"1958-11",342
"1958-12",372
"1959-01",396
"1959-02",382
"1959-03",346
"1959-04",330
"1959-05",354
"1959-06",603
"1959-07",523
"1959-08",436
"1959-09",336
"1959-10",349
"1959-11",327
"1959-12",399
"1960-01",381
"1960-02",330
"1960-03",424
"1960-04",367
"1960-05",388
"1960-06",749
"1960-07",548
"1960-08",456
"1960-09",329
"1960-10",370
"1960-11",365
"1960-12",400
"1961-01",462
"1961-02",481
"1961-03",463
"1961-04",443
"1961-05",445
"1961-06",811
"1961-07",608
"1961-08",472
"1961-09",388
"1961-10",373
"1961-11",377
"1961-12",423
"1962-01",401
"1962-02",425
"1962-03",396
"1962-04",355
"1962-05",416
"1962-06",699
"1962-07",469
"1962-08",380
"1962-09",338
"1962-10",307
"1962-11",380
"1962-12",328
"1963-01",386
"1963-02",469
"1963-03",465
"1963-04",480
"1963-05",585
"1963-06",831
"1963-07",670
"1963-08",474
"1963-09",416
"1963-10",376
"1963-11",441
"1963-12",414
"1964-01",442
"1964-02",425
"1964-03",475
"1964-04",490
"1964-05",527
"1964-06",872
"1964-07",569
"1964-08",483
"1964-09",394
"1964-10",327
"1964-11",424
"1964-12",417
"1965-01",415
"1965-02",419
"1965-03",416
"1965-04",463
"1965-05",535
"1965-06",844
"1965-07",662
"1965-08",456
"1965-09",378
"1965-10",398
"1965-11",359
"1965-12",405
"1966-01",391
"1966-02",359
"1966-03",411
"1966-04",397
"1966-05",496
"1966-06",777
"1966-07",576
"1966-08",382
"1966-09",352
"1966-10",317
"1966-11",342
"1966-12",388
"1967-01",391
"1967-02",425
"1967-03",372
"1967-04",363
"1967-05",337
"1967-06",753
"1967-07",620
"1967-08",455
"1967-09",375
"1967-10",431
"1967-11",450
"1967-12",402
"1968-01",385
"1968-02",417
"1968-03",400
"1968-04",320
"1968-05",292
"1968-06",778
"1968-07",627
"1968-08",396
"1968-09",339
"1968-10",368
"1968-11",385
"1968-12",410
"1969-01",426
"1969-02",405
"1969-03",413
"1969-04",352
"1969-05",304
"1969-06",675
"1969-07",663
"1969-08",407
"1969-09",407
"1969-10",403
"1969-11",420
"1969-12",410
"1970-01",479
"1970-02",500
"1970-03",475
"1970-04",483
"1970-05",440
"1970-06",947
"1970-07",807
"1970-08",586
"1970-09",581
"1970-10",603
"1970-11",620
"1970-12",669
"1971-01",707
"1971-02",655
"1971-03",638
"1971-04",574
"1971-05",552
"1971-06",980
"1971-07",926
"1971-08",680
"1971-09",597
"1971-10",637
"1971-11",660
"1971-12",704
"1972-01",758
"1972-02",835
"1972-03",747
"1972-04",617
"1972-05",554
"1972-06",929
"1972-07",815
"1972-08",702
"1972-09",640
"1972-10",588
"1972-11",669
"1972-12",675
"1973-01",610
"1973-02",651
"1973-03",605
"1973-04",592
"1973-05",527
"1973-06",898
"1973-07",839
"1973-08",614
"1973-09",594
"1973-10",576
"1973-11",672
"1973-12",651
"1974-01",714
"1974-02",715
"1974-03",672
"1974-04",588
"1974-05",567
"1974-06",1057
"1974-07",949
"1974-08",683
"1974-09",771
"1974-10",708
"1974-11",824
"1974-12",835
"1975-01",980
"1975-02",969
"1975-03",931
"1975-04",892
"1975-05",828
"1975-06",1350
"1975-07",1218
"1975-08",977
"1975-09",863
"1975-10",838
"1975-11",866
"1975-12",877
"1976-01",1007
"1976-02",951
"1976-03",906
"1976-04",911
"1976-05",812
"1976-06",1172
"1976-07",1101
"1976-08",900
"1976-09",841
"1976-10",853
"1976-11",922
"1976-12",886
"1977-01",896
"1977-02",936
"1977-03",902
"1977-04",765
"1977-05",735
"1977-06",1234
"1977-07",1052
"1977-08",868
"1977-09",798
"1977-10",751
"1977-11",820
"1977-12",725
"1978-01",821
"1978-02",895
"1978-03",851
"1978-04",734
"1978-05",636
"1978-06",994
"1978-07",990
"1978-08",750
"1978-09",727
"1978-10",754
"1978-11",792
"1978-12",817
"1979-01",856
"1979-02",886
"1979-03",833
"1979-04",733
"1979-05",675
"1979-06",1004
"1979-07",956
"1979-08",777
"1979-09",761
"1979-10",709
"1979-11",777
"1979-12",771
"1980-01",840
"1980-02",847
"1980-03",774
"1980-04",720
"1980-05",848
"1980-06",1240
"1980-07",1168
"1980-08",936
"1980-09",853
"1980-10",910
"1980-11",953
"1980-12",874
"1981-01",1026
"1981-02",1030
"1981-03",946
"1981-04",860
"1981-05",856
"1981-06",1190
"1981-07",1038
"1981-08",883
"1981-09",843
"1981-10",857
"1981-11",1016
"1981-12",1003

Monthly U.S. male (16-19 years) unemployment figures (thousands) 1948-1981

