"Month","Numbers on Unemployment Benefits in Australia: monthly Jan 1956 ? Jul 1992"
"1956-01",4742
"1956-02",6128
"1956-03",6494
"1956-04",5379
"1956-05",6011
"1956-06",7003
"1956-07",9164
"1956-08",10333
"1956-09",9614
"1956-10",9545
"1956-11",10096
"1956-12",13277
"1957-01",15711
"1957-02",13135
"1957-03",13077
"1957-04",15453
"1957-05",15995
"1957-06",18071
"1957-07",20291
"1957-08",20175
"1957-09",18975
"1957-10",17928
"1957-11",19782
"1957-12",26055
"1958-01",29856
"1958-02",26879
"1958-03",24485
"1958-04",27745
"1958-05",27282
"1958-06",29418
"1958-07",29908
"1958-08",29278
"1958-09",26002
"1958-10",23826
"1958-11",22302
"1958-12",27565
"1959-01",31486
"1959-02",28207
"1959-03",27669
"1959-04",27559
"1959-05",27924
"1959-06",27528
"1959-07",27410
"1959-08",24887
"1959-09",21904
"1959-10",19598
"1959-11",19037
"1959-12",22469
"1960-01",23781
"1960-02",20020
"1960-03",18177
"1960-04",17732
"1960-05",16765
"1960-06",16310
"1960-07",14897
"1960-08",12940
"1960-09",11465
"1960-10",10364
"1960-11",11738
"1960-12",17633
"1961-01",19257
"1961-02",20941
"1961-03",29718
"1961-04",35025
"1961-05",45110
"1961-06",57154
"1961-07",61499
"1961-08",62090
"1961-09",59561
"1961-10",48531
"1961-11",47541
"1961-12",56756
"1962-01",56755
"1962-02",49740
"1962-03",45870
"1962-04",49136
"1962-05",47256
"1962-06",46324
"1962-07",45453
"1962-08",42333
"1962-09",36851
"1962-10",33952
"1962-11",33392
"1962-12",43153
"1963-01",46178
"1963-02",40482
"1963-03",36394
"1963-04",37142
"1963-05",36424
"1963-06",38188
"1963-07",37174
"1963-08",31869
"1963-09",26575
"1963-10",21758
"1963-11",20978
"1963-12",29555
"1964-01",28649
"1964-02",24226
"1964-03",21955
"1964-04",19937
"1964-05",18287
"1964-06",18129
"1964-07",17072
"1964-08",14924
"1964-09",12491
"1964-10",11160
"1964-11",10658
"1964-12",15451
"1965-01",15831
"1965-02",13698
"1965-03",12111
"1965-04",12690
"1965-05",12585
"1965-06",12855
"1965-07",12137
"1965-08",10977
"1965-09",9993
"1965-10",9614
"1965-11",10459
"1965-12",20509
"1966-01",19490
"1966-02",17611
"1966-03",16206
"1966-04",17560
"1966-05",18082
"1966-06",19482
"1966-07",19200
"1966-08",18918
"1966-09",17375
"1966-10",16122
"1966-11",17269
"1966-12",26261
"1967-01",24911
"1967-02",21969
"1967-03",21956
"1967-04",20944
"1967-05",22200
"1967-06",24002
"1967-07",22951
"1967-08",20143
"1967-09",17187
"1967-10",15287
"1967-11",17394
"1967-12",26321
"1968-01",26943
"1968-02",23735
"1968-03",20744
"1968-04",21090
"1968-05",21502
"1968-06",21275
"1968-07",19426
"1968-08",16798
"1968-09",14209
"1968-10",13357
"1968-11",14766
"1968-12",25092
"1969-01",23460
"1969-02",19551
"1969-03",15898
"1969-04",16012
"1969-05",16054
"1969-06",15910
"1969-07",13873
"1969-08",11854
"1969-09",10138
"1969-10",9942
"1969-11",11262
"1969-12",19601
"1970-01",17778
"1970-02",13854
"1970-03",12681
"1970-04",11328
"1970-05",11946
"1970-06",13043
"1970-07",12785
"1970-08",11937
"1970-09",11383
"1970-10",10282
"1970-11",11316
"1970-12",19652
"1971-01",18337
"1971-02",16779
"1971-03",15504
"1971-04",17258
"1971-05",18264
"1971-06",19184
"1971-07",19453
"1971-08",18741
"1971-09",19087
"1971-10",18171
"1971-11",20825
"1971-12",36441
"1972-01",37486
"1972-02",37303
"1972-03",37639
"1972-04",36536
"1972-05",35850
"1972-06",41581
"1972-07",42979
"1972-08",42490
"1972-09",37992
"1972-10",32454
"1972-11",34049
"1972-12",47598
"1973-01",48622
"1973-02",39868
"1973-03",34511
"1973-04",37234
"1973-05",36675
"1973-06",37945
"1973-07",36593
"1973-08",31669
"1973-09",28682
"1973-10",25944
"1973-11",28443
"1973-12",40232
"1974-01",46847
"1974-02",38315
"1974-03",32600
"1974-04",33349
"1974-05",30598
"1974-06",32009
"1974-07",37599
"1974-08",45999
"1974-09",54945
"1974-10",68394
"1974-11",85735
"1974-12",140772
"1975-01",182260
"1975-02",184177
"1975-03",157547
"1975-04",168471
"1975-05",159020
"1975-06",160748
"1975-07",169631
"1975-08",170927
"1975-09",179898
"1975-10",176471
"1975-11",184528
"1975-12",231311
"1976-01",248619
"1976-02",215342
"1976-03",192024
"1976-04",178765
"1976-05",182397
"1976-06",188423
"1976-07",197159
"1976-08",198648
"1976-09",195864
"1976-10",194125
"1976-11",192866
"1976-12",215655
"1977-01",229415
"1977-02",245395
"1977-03",236383
"1977-04",226807
"1977-05",239984
"1977-06",250309
"1977-07",253809
"1977-08",254863
"1977-09",249551
"1977-10",254085
"1977-11",238332
"1977-12",256223
"1978-01",269896
"1978-02",298455
"1978-03",290356
"1978-04",283308
"1978-05",272384
"1978-06",286091
"1978-07",290718
"1978-08",285424
"1978-09",284642
"1978-10",279874
"1978-11",278829
"1978-12",311279
"1979-01",341877
"1979-02",357463
"1979-03",334400
"1979-04",332572
"1979-05",318905
"1979-06",311232
"1979-07",310000
"1979-08",303800
"1979-09",299566
"1979-10",286241
"1979-11",282902
"1979-12",297782
"1980-01",334495
"1980-02",334265
"1980-03",316776
"1980-04",309300
"1980-05",308989
"1980-06",311232
"1980-07",313943
"1980-08",303555
"1980-09",290386
"1980-10",283822
"1980-11",284842
"1980-12",299500
"1981-01",339700
"1981-02",347400
"1981-03",325500
"1981-04",315200
"1981-05",314900
"1981-06",314500
"1981-07",313700
"1981-08",318500
"1981-09",306000
"1981-10",299500
"1981-11",289800
"1981-12",304700
"1982-01",351425
"1982-02",372288
"1982-03",358536
"1982-04",356004
"1982-05",375626
"1982-06",390664
"1982-07",404840
"1982-08",421856
"1982-09",446341
"1982-10",465959
"1982-11",493446
"1982-12",562592
"1983-01",601931
"1983-02",632837
"1983-03",622819
"1983-04",622162
"1983-05",633272
"1983-06",635002
"1983-07",634020
"1983-08",622103
"1983-09",610379
"1983-10",599100
"1983-11",591442
"1983-12",629214
"1984-01",674424
"1984-02",667059
"1984-03",626653
"1984-04",602100
"1984-05",600344
"1984-06",584506
"1984-07",580347
"1984-08",570553
"1984-09",565348
"1984-10",555279
"1984-11",552893
"1984-12",576900
"1985-01",636841
"1985-02",636342
"1985-03",599092
"1985-04",580700
"1985-05",568574
"1985-06",561400
"1985-07",553644
"1985-08",541022
"1985-09",534700
"1985-10",522587
"1985-11",520756
"1985-12",552300
"1986-01",609987
"1986-02",603156
"1986-03",578700
"1986-04",568400
"1986-05",569966
"1986-06",569761
"1986-07",573989
"1986-08",573735
"1986-09",566245
"1986-10",556055
"1986-11",540527
"1986-12",560166
"1987-01",623079
"1987-02",619978
"1987-03",592892
"1987-04",582102
"1987-05",561698
"1987-06",550850
"1987-07",536522
"1987-08",525650
"1987-09",515893
"1987-10",492248
"1987-11",481236
"1987-12",495772
"1988-01",517127
"1988-02",511023
"1988-03",493993
"1988-04",483400
"1988-05",481469
"1988-06",475070
"1988-07",472806
"1988-08",458767
"1988-09",441201
"1988-10",428578
"1988-11",419052
"1988-12",420900
"1989-01",448572
"1989-02",441100
"1989-03",409708
"1989-04",393323
"1989-05",391918
"1989-06",390001
"1989-07",383839
"1989-08",377968
"1989-09",368060
"1989-10",360246
"1989-11",357443
"1989-12",374530
"1990-01",385727
"1990-02",398961
"1990-03",390149
"1990-04",391108
"1990-05",411171
"1990-06",427931
"1990-07",441335
"1990-08",450824
"1990-09",452304
"1990-10",457658
"1990-11",480083
"1990-12",523798
"1991-01",567249
"1991-02",580777
"1991-03",596890
"1991-04",616326
"1991-05",647415
"1991-06",676706
"1991-07",701677
"1991-08",709801
"1991-09",718748
"1991-10",720754
"1991-11",730105
"1991-12",751348
"1992-01",779868
"1992-02",816124
"1992-03",818102
"1992-04",826297
"1992-05",838390
"1992-06",851831
"1992-07",856505

Numbers on Unemployment Benefits in Australia: monthly Jan 1956 ? Jul 1992

