"Time","GMSL (mm)","GMSL uncertainty (mm)"
1880.5, -157.1,   24.2
1881.5, -151.5,   24.2
1882.5, -168.3,   23.0
1883.5, -163.0,   22.8
1884.5, -142.1,   22.2
1885.5, -143.6,   21.9
1886.5, -146.0,   20.8
1887.5, -151.6,   20.8
1888.5, -149.5,   20.8
1889.5, -147.9,   20.8
1890.5, -145.9,   20.7
1891.5, -147.6,   20.7
1892.5, -144.4,   20.7
1893.5, -139.7,   20.3
1894.5, -149.4,   21.6
1895.5, -137.6,   21.6
1896.5, -145.2,   21.2
1897.5, -140.0,   20.8
1898.5, -130.6,   19.7
1899.5, -123.1,   19.4
1900.5, -128.5,   18.3
1901.5, -128.9,   17.6
1902.5, -124.3,   17.3
1903.5, -116.3,   17.0
1904.5, -126.6,   16.9
1905.5, -132.1,   15.4
1906.5, -125.3,   14.7
1907.5, -126.7,   14.9
1908.5, -129.2,   14.5
1909.5, -124.7,   14.6
1910.5, -124.8,   14.6
1911.5, -116.5,   14.2
1912.5, -119.6,   14.2
1913.5, -117.8,   14.1
1914.5, -111.5,   13.8
1915.5, -103.6,   13.6
1916.5, -105.5,   13.0
1917.5, -110.0,   12.8
1918.5, -111.6,   12.7
1919.5, -110.0,   12.7
1920.5, -108.7,   13.0
1921.5, -106.6,   13.1
1922.5, -107.5,   13.2
1923.5, -106.3,   13.0
1924.5, -113.6,   13.1
1925.5, -111.6,   13.6
1926.5, -105.1,   13.7
1927.5, -106.2,   12.9
1928.5, -110.1,   12.3
1929.5, -108.7,   12.1
1930.5, -104.7,   12.0
1931.5, -105.1,   12.2
1932.5,  -99.4,   11.9
1933.5,  -95.1,   11.8
1934.5, -100.5,   11.9
1935.5,  -94.9,   11.9
1936.5,  -98.8,   11.8
1937.5,  -93.1,   11.8
1938.5,  -90.5,   11.8
1939.5,  -85.3,   12.2
1940.5,  -90.6,   11.1
1941.5,  -78.4,   10.8
1942.5,  -78.4,   10.8
1943.5,  -78.4,   10.8
1944.5,  -84.8,   10.7
1945.5,  -82.0,   10.7
1946.5,  -74.5,   10.6
1947.5,  -71.4,    9.6
1948.5,  -66.6,    9.3
1949.5,  -67.9,    8.4
1950.5,  -65.7,    7.9
1951.5,  -56.2,    7.8
1952.5,  -58.8,    7.7
1953.5,  -54.4,    7.5
1954.5,  -57.3,    7.3
1955.5,  -56.4,    7.1
1956.5,  -61.5,    7.0
1957.5,  -48.1,    6.9
1958.5,  -46.7,    6.6
1959.5,  -46.4,    6.5
1960.5,  -42.7,    6.6
1961.5,  -36.5,    6.6
1962.5,  -41.7,    6.6
1963.5,  -43.3,    6.6
1964.5,  -51.2,    6.7
1965.5,  -40.0,    6.7
1966.5,  -45.4,    6.6
1967.5,  -44.0,    6.5
1968.5,  -43.2,    6.7
1969.5,  -36.4,    7.0
1970.5,  -38.3,    7.0
1971.5,  -33.1,    6.9
1972.5,  -24.0,    6.9
1973.5,  -30.0,    6.8
1974.5,  -18.1,    6.8
1975.5,  -19.7,    6.7
1976.5,  -20.7,    6.8
1977.5,  -22.4,    6.6
1978.5,  -16.0,    6.7
1979.5,  -20.9,    6.7
1980.5,  -14.9,    6.5
1981.5,   -2.5,    6.5
1982.5,   -8.3,    6.3
1983.5,    0.1,    6.5
1984.5,   -0.8,    6.3
1985.5,  -11.1,    6.3
1986.5,  -10.5,    6.3
1987.5,   -9.9,    6.2
1988.5,   -5.2,    6.3
1989.5,   -0.7,    6.4
1990.5,    0.7,    6.3
1991.5,    3.8,    6.3
1992.5,    6.6,    6.4
1993.5,    2.1,    6.4
1994.5,    5.5,    6.4
1995.5,   10.7,    6.4
1996.5,   14.4,    6.4
1997.5,   22.6,    6.5
1998.5,   15.0,    6.6
1999.5,   21.7,    6.7
2000.5,   22.6,    6.6
2001.5,   27.1,    6.5
2002.5,   26.1,    6.7
2003.5,   35.1,    6.9
2004.5,   34.5,    7.2
2005.5,   34.1,    7.3
2006.5,   35.6,    7.4
2007.5,   39.1,    8.0
2008.5,   49.0,    8.4
2009.5,   55.5,    8.8
